Question,Choice A,Choice B,Choice C,Choice D,Correct Answer,Explanation
Solve for t from the equation v = v₀ + a·t.,t = v₀/a,t = v/a,t = (v - v₀)/a,t = v₀/v,C,"Starting from v = v₀ + a·t, subtract v₀ from both sides and divide by a: t = (v - v₀)/a."
Solve for v₀ from the equation x = v₀·t + ½·a·t².,v₀ = (x - a·t²)/t,v₀ = x/(½·a·t²),v₀ = (x - ½·a·t²)/t,v₀ = (x + ½·a·t²)/t,C,"Starting from x = v₀·t + ½·a·t², subtract ½·a·t² and divide by t to isolate v₀."
Solve for m from the equation F = m·a.,m = F - a,m = F/a,m = F/a²,m = F·a,B,"Starting from F = m·a, divide both sides by a to isolate m: m = F/a."
Solve for a from the equation v² = v₀² + 2·a·Δx.,a = (v² - v₀²)/(2·Δx),a = (v - v₀)/Δx,a = (v² + v₀²)/2Δx,a = (v² - v₀²)/(Δx),A,Subtract v₀² from both sides and divide by 2Δx: a = (v² - v₀²)/(2·Δx).
Solve for k from the equation Uₛ = ½·k·x².,k = ½·Uₛ/x,k = Uₛ/x²,k = 2·Uₛ/x,k = 2·Uₛ/x²,D,Multiply both sides by 2 and divide by x² to isolate k: k = 2·Uₛ/x².
Solve for F in the equation τ = r·F·sinθ.,F = τ/(r·sinθ),F = τ/r,F = τ·r·sinθ,F = τ/(r·cosθ),A,"Starting from τ = r·F·sinθ, divide both sides by (r·sinθ) to solve for F."
Solve for r from the equation F = G·(m₁·m₂)/r².,r = √(F/G·m₁·m₂),r = √(G·m₁·m₂/F),r = F/(G·m₁·m₂),r = (G·m₁·m₂)/F,B,"Multiply both sides by r², divide by F, then take the square root: r = √(G·m₁·m₂/F)."
Solve for v from the equation KE = ½·m·v².,v = √(2·KE/m),v = √(KE/2m),v = √(KE/m),v = KE/½m,A,"Multiply both sides by 2, divide by m, then take the square root: v = √(2·KE/m)."
Solve for h from the equation PE = m·g·h.,h = m·g/PE,h = PE/(m·g),h = PE/m,h = PE·g,B,Divide both sides by (m·g) to solve for h: h = PE/(m·g).
Solve for ω from the equation L = I·ω.,ω = L/I²,ω = L/I,ω = L·I,ω = I/L,B,Divide both sides by I to solve for ω: ω = L/I.
