Question,Choice A,Choice B,Choice C,Choice D,Correct Answer,Explanation
A ball is thrown straight up into the air. Which equation correctly describes its vertical velocity over time?,v² = v₀² + 2·a·t,v = v₀ + a·t,v = v₀ + a·x,v = a·t,B,"The correct equation is v = v₀ + a·t, which shows how velocity changes with time under constant acceleration."
A car accelerates uniformly from rest. Which equation gives the displacement after time t?,x = v₀ + ½·a·t²,x = v₀·t + a·t²,x = ½·a·t²,x = v₀·t + ½·a·t²,D,"The correct equation is x = v₀·t + ½·a·t², describing displacement when starting from rest with constant acceleration."
An object is dropped from rest. Which equation relates its velocity to displacement?,v² = v₀² + a·x,v = v₀ + 2·a·x,v² = v₀² + 2·a·x,v = √(2·a·x),C,"The correct equation is v² = v₀² + 2·a·x, relating velocity and displacement when starting from rest."
A runner increases speed with constant acceleration. Which equation gives the final velocity after displacement?,v = v₀ + a·t,v² = 2·a·x,v = v₀ + a·x,v² = v₀² + 2·a·Δx,D,"The correct equation is v² = v₀² + 2·a·Δx, linking final velocity, initial velocity, acceleration, and displacement."
"An object moves with constant acceleration. Which equation relates displacement to initial velocity, time, and acceleration?",x = ½·a·t²,x = x₀ + ½·a·t²,x = v₀·t + a·t²,x = x₀ + v₀·t + ½·a·t²,D,"The correct equation is x = x₀ + v₀·t + ½·a·t², combining initial position, initial velocity, time, and acceleration."
An object moves horizontally with constant velocity. Which equation correctly represents this motion?,x = x₀ + ½·a·t²,x = x₀ + v·t,x = v₀ + a·t,x = v₀·t + ½·a·t²,B,"The correct equation is x = x₀ + v·t, representing constant velocity motion without acceleration."
A projectile is launched horizontally from a cliff. Which equation gives its vertical displacement after time t?,y = y₀ + g·t,y = y₀ + v₀·t,y = y₀ + ½·g·t²,y = v₀·t + ½·g·t²,C,"The correct equation is y = y₀ + ½·g·t², describing vertical displacement under constant gravitational acceleration starting from rest."
"An object experiences a constant net force. Which equation correctly relates force, mass, and acceleration?",F = m·v,F = m/g,F = m·a,F = a/m,C,"The correct equation is F = m·a, Newton’s second law relating net force, mass, and acceleration."
A ball falls freely under gravity. Which equation gives the vertical position as a function of time?,y = y₀ + ½·a·t²,y = v₀·t + ½·g·t²,y = y₀ + v₀·t + ½·a·t²,y = y₀ + g·t²,C,"The correct equation is y = y₀ + v₀·t + ½·a·t², combining initial position, velocity, and constant acceleration over time."
"An object is moving with an initial velocity and constant acceleration. Which equation gives its velocity squared in terms of initial velocity, acceleration, and displacement?",v² = v₀ + a·x,v = v₀ + a·t,v² = v₀² + 2·a·Δx,v² = 2·a·x,C,"The correct equation is v² = v₀² + 2·a·Δx, linking velocity squared with displacement and acceleration."
A box slides down a ramp without friction. Which equation gives the component of gravitational force along the incline?,F = m·a,F = m·g·sinθ,F = m·g·cosθ,F = m·g,B,"The correct equation is F = m·g·sinθ, giving the component of gravity acting along a frictionless incline."
A planet orbits a star in a nearly circular path. Which equation gives the gravitational force between them?,F = G·(m₁²)/(r²),F = m₁·m₂/G·r²,F = G·r²/(m₁·m₂),F = G·(m₁·m₂)/r²,D,"The correct equation is F = G·(m₁·m₂)/r², describing the gravitational force between two masses separated by distance r."
An object swings as a pendulum at small angles. Which equation gives the restoring force?,F = m·g·r,F = -m·g·sinθ,F = m·g·cosθ,F = m·g·tanθ,B,"The correct equation is F = -m·g·sinθ, showing the restoring force for small-angle pendulum swings."
A spring is stretched by a mass. Which equation gives the restoring force of the spring?,F = k·x,F = k·x²,F = -k·x,F = -k·x²,C,"The correct equation is F = -k·x, Hooke's Law for the restoring force of a spring."
Two masses interact gravitationally. Which equation gives the gravitational force between them?,F = m₁·m₂/G·r²,F = G·(m₁·m₂)/r²,F = G·(m₁·m₂)/r,F = G·(m₁²)/r²,B,"The correct equation is F = G·(m₁·m₂)/r², describing gravitational attraction between two objects based on mass and distance."
A satellite moves in uniform circular motion around Earth. Which equation gives the required centripetal force?,F = m·a·r,F = m·r²/v,F = m·v/r,F = m·v²/r,D,"The correct equation is F = m·v²/r, giving the centripetal force needed for circular motion."
A car travels around a curve on a flat road. Which equation gives the maximum static friction force preventing slipping?,fₛ₍ₘₐₓ₎ = μₛ·N,fₛ₍ₘₐₓ₎ = μₖ·N,fₛ₍ₘₐₓ₎ = N/μₛ,fₛ₍ₘₐₓ₎ = μₛ/N,A,"The correct equation is fₛ₍ₘₐₓ₎ = μₛ·N, where μₛ is the coefficient of static friction and N is the normal force."
"A rotating object increases angular velocity. Which equation relates torque, moment of inertia, and angular acceleration?",τ = I·α,τ = α/I,τ = I/α,τ = α·I²,A,"The correct equation is τ = I·α, relating torque to moment of inertia and angular acceleration."
"An object moves in a circle. Which equation relates linear speed, radius, and centripetal acceleration?",a꜀ = v/r²,a꜀ = v²/r,a꜀ = v²·r,a꜀ = r²/v,B,"The correct equation is a꜀ = v²/r, defining centripetal acceleration for circular motion."
A disk spins at a constant angular velocity. Which equation relates angular displacement and angular velocity over time?,θ = ω²·t,θ = ω²·t²,θ = ω·t²,θ = ω·t,D,"The correct equation is θ = ω·t, giving angular displacement under constant angular velocity."
A ball is spun on a string in a circle. Which equation gives the angular velocity in terms of period?,ω = 2π·T,ω = T/2π,ω = 2π/T,ω = 2π/ω₀,C,"The correct equation is ω = 2π/T, relating angular velocity and period for uniform circular motion."
An object rotates with constant angular acceleration. Which equation gives final angular velocity?,ω = ω₀ + t/α,ω = ω₀·α·t,ω = α·t,ω = ω₀ + α·t,D,"The correct equation is ω = ω₀ + α·t, giving the final angular velocity under constant angular acceleration."
"A rotating wheel's angular velocity changes uniformly. Which equation relates angular displacement, angular velocity, and time?",θ = ω₀·t + ½·α·t²,θ = ω₀·t² + ½·α·t,θ = α·t²,θ = ½·ω₀·t²,A,"The correct equation is θ = ω₀·t + ½·α·t², relating angular displacement to time with constant angular acceleration."
A spinning object’s angular acceleration is known. Which equation gives its angular displacement?,θ = ω₀·t² + α·t²,θ = ½·ω₀·t,θ = ½·ω₀·t² + α·t,θ = ω₀·t + ½·α·t²,D,"The correct equation is θ = ω₀·t + ½·α·t², providing angular displacement under constant angular acceleration."
A solid sphere rolls without slipping. Which equation gives the condition for rolling without slipping?,v = ω/r,v = r·ω,v = ω²·r,v = r/ω,B,"The correct equation is v = r·ω, the rolling without slipping condition linking linear and angular velocity."
"A rotating object slows down under constant angular deceleration. Which equation relates final angular velocity, initial angular velocity, and angular displacement?",ω = ω₀ + α·t,ω = ω₀ + t/α,ω² = ω₀² + 2·α·θ,ω = α·t,C,"The correct equation is ω² = ω₀² + 2·α·θ, relating angular velocities and displacement under constant angular acceleration."
A spinning disk's final angular velocity is known. Which equation relates it to initial angular velocity and angular acceleration over angular displacement?,ω² = ω₀² + α·θ,ω = ω₀ + 2·α·t,ω² = ω₀² + 2·α·θ,ω² = 2·ω₀² + α·θ,C,"The correct equation is ω² = ω₀² + 2·α·θ, connecting angular velocity and displacement for rotating bodies."
A system's rotational kinetic energy is needed. Which equation gives rotational kinetic energy?,Kᵣₒₜ = ½·I·ω,Kᵣₒₜ = I·ω²,Kᵣₒₜ = I/ω²,Kᵣₒₜ = ½·I·ω²,D,"The correct equation is Kᵣₒₜ = ½·I·ω², giving rotational kinetic energy in terms of moment of inertia and angular velocity."
An object has both rotational and translational motion. Which equation gives the total kinetic energy?,K = m·v² + ½·I·ω²,K = m·v² + I·ω²,K = ½·m·v² + I·ω²,K = ½·m·v² + ½·I·ω²,D,"The correct equation is K = ½·m·v² + ½·I·ω², summing translational and rotational kinetic energy."
A uniform disk is rotating. Which equation gives its moment of inertia?,I = M²·R,I = ½·M·R²,I = M·R²,I = 2·M·R²,B,"The correct equation is I = ½·M·R², the moment of inertia for a uniform solid disk rotating about its center."
A system's mechanical energy includes both kinetic and potential terms. Which equation gives total mechanical energy?,E = K + U,E = K + U²,E = ½·K + U,E = K² + U,A,"The correct equation is E = K + U, combining kinetic and potential energy for total mechanical energy."
An object at height h above Earth’s surface has gravitational potential energy. Which equation gives this energy?,U = g·h,U = m²·g·h,U = m·g·h,U = m·g/h,C,"The correct equation is U = m·g·h, giving gravitational potential energy relative to a chosen reference height."
