Question,Correct Answer,Choice A,Correct? A,Code A,Choice B,Correct? B,Code B,Choice C,Correct? C,Code C,Choice D,Correct? D,Code D,Explanation
An object of mass m moves at speed v. What is its kinetic energy?,C,K = m · v,False,PH99,K = ½ · m · v,False,PH100,K = ½ · m · v²,True,,K = m · v²,False,PH99,Kinetic energy depends on square of speed: K = ½·m·v²
If an object’s speed doubles— how does its kinetic energy change?,A,It quadruples.,True,,It doubles.,False,PH100,It remains the same.,False,PH103,It halves.,False,PH103,K = ½·m·v² → if v doubles— KE increases by factor of 4.
Two objects have equal kinetic energy. One has twice the mass of the other. What is the speed ratio?,D,v₁ = v₂,False,PH100,v₁ = 2 · v₂,False,PH100,v₁ = √2 · v₂,False,PH100,v₁ = v₂ / √2,True,,K = ½·m·v² → solve for v = √(2K / m). If m doubles— v must drop by √2.
What is the total kinetic energy of a system of two blocks: m₁ = 2 kg at 3 m/s— m₂ = 4 kg at 2 m/s?,B,KE = ½(2+4)(3+2)²,False,PH100,KE = 17 J,True,,KE = ½(6)(5²),False,PH105,KE = m · v,False,PH99,KE is scalar → add individual KE: ½·m₁·v₁² + ½·m₂·v₂²
An object of unknown mass has kinetic energy K and speed v. What is its mass?,A,m = 2K / v²,True,,m = K / v,False,PH104,m = K / v²,False,PH104,m = v² / K,False,PH104,Solve K = ½·m·v² for m: multiply both sides by 2 and divide by v²
A block's speed increases from v to 2v. What is the change in kinetic energy?,D,ΔK = 2K,False,PH100,ΔK = ½·m·v,False,PH104,ΔK = m·v²,False,PH100,ΔK = ½·m·3v²,True,,Initial KE = ½·m·v²; final KE = ½·m·(2v)² = 2m·v² → ∆K = 1.5m·v²
If two cars with equal mass collide and stop— what happens to their combined kinetic energy?,B,It increases.,False,PH103,It is transferred or transformed (e.g.— heat— sound).,True,,It becomes potential energy.,False,PH102,It is destroyed.,False,PH101,Energy is conserved but changes form — KE can become thermal— etc.
Which variable has the greatest effect on kinetic energy?,C,Mass.,False,PH104,Direction of motion.,False,PH101,Speed.,True,,Position.,False,PH101,K = ½·m·v² → v² means KE is more sensitive to speed.
If K = 125 J and m = 5 kg— what is the speed of the object?,D,v = 50,False,PH104,v = 5,False,PH104,v = 10,False,PH104,v = 7.1 m/s,True,,Solve K = ½·m·v² → v = √(2K / m)
Which of these best defines kinetic energy?,A,Energy due to motion— proportional to m and v²,True,,Energy stored in a spring.,False,PH99,Energy related to height.,False,PH102,Force over distance.,False,PH101,KE is energy of motion — K = ½·m·v².
A force F moves an object through displacement d at angle θ. What is the work done?,C,W = F · d,False,PH106,W = F · sin(θ),False,PH106,W = F · d · cos(θ),True,,W = F / d,False,PH106,Work is scalar projection of force along displacement: W = Fd·cos(θ).
An object is lifted vertically at constant speed through height h. What is the work done?,A,W = m · g · h,True,,W = 0,False,PH107,W = h / (m · g),False,PH107,W = m · h,False,PH107,Work = force · displacement = mg·h
A block of mass m slides distance d on frictionless surface. If pushed by constant force F— what is final speed?,D,v = F / d,False,PH110,v = √(F / m),False,PH110,v = m · d,False,PH110,v = √(2·F·d / m),True,,Use W = ∆K → F·d = ½·m·v² → v = √(2Fd / m)
If net work done on an object is positive— what happens to its kinetic energy?,A,It increases.,True,,It decreases.,False,PH108,It becomes negative.,False,PH108,It disappears.,False,PH111,Work-energy theorem: W = ∆K → if W > 0— ∆K > 0
A box is pulled with 40 N at 60° to the horizontal for 5 m. What is the work done?,B,W = 200 J,False,PH106,W = 100 J,True,,W = 40·cos(60°),False,PH106,W = 40·sin(60°),False,PH106,Work = F·d·cos(θ) = 40·5·0.5 = 100 J
A student says more distance means more work even with zero force. What’s wrong?,C,They forgot acceleration.,False,PH110,They ignored time.,False,PH110,They ignored that work = 0 if F = 0.,True,,They reversed cause and effect.,False,PH112,W = F·d → if F = 0— then W = 0 regardless of d
